Average,HR/AB,K/AB
0.283,0.013,0.086
0.276,0.002,0.062
0.281,0.013,0.074
0.328,0.03,0.032
0.29,0.07,0.076
0.296,0.05,0.007
0.248,0.012,0.095
0.228,0.003,0.145
0.305,0.061,0.112
0.254,0.014,0.124
0.269,0.009,0.111
0.3,0.011,0.07
0.307,0.005,0.065
0.214,0.004,0.138
0.329,0.011,0.032
0.31,0.05,0.06
0.252,0.049,0.233
0.308,0.003,0.068
0.342,0.085,0.158
0.358,0.037,0.083
0.34,0.012,0.04
0.304,0.054,0.095
0.248,0.043,0.135
0.367,0.01,0.031
0.325,0.01,0.048
0.244,0,0.061
0.245,0.022,0.151
0.318,0.037,0.081
0.207,0,0.252
0.32,0.013,0.07
0.243,0.051,0.264
0.317,0.017,0.058
0.199,0.011,0.188
0.294,0.005,0.014
0.221,0.015,0.142
0.301,0.022,0.092
0.298,0.066,0.211
0.304,0.054,0.095
0.297,0.038,0.101
0.188,0.002,0.205
0.214,0.004,0.138
0.218,0.012,0.147
0.284,0.021,0.13
0.27,0.002,0
0.277,0.039,0.115